RULE 1 N/A 0 1 0 0 0, ;5
RULE 1 N/A 0 32 0 0 0, ;5
RULE 1 N/A 0 256 0 0 0, ;5
RULE 2 N/A 0 0 0 0 17 0 0 0 0 0 0 0 0, ;44
RULE 3 N/A 0 0 0 0 1 0 0 0 0, ;40
SELECTION 1 TTY 010001 1 131073 0 1 2444 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 
SELECTION 2 Loopset 010201 32 131073 0 1 2320 0 0 0,1 -19 1 0 0 0 2 1 2  
SELECTION 4 Headset 010001 1 131073 0 1 2444 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 
SELECTION 8 Headphones 010001 1 131073 0 1 2188 0 0 0,0 0 0 0 0 0 0 0 0 2 0 2 
SELECTION 16 LineOut 010001 1 131073 0 1 2188 0 0 0,0 0 0 0 0 0 0 0 0 2 1 2 
SELECTION 32 TVOut 000004 512 131073 0 17 2188 0 0 0 1 0 0 0,0 0 0 0 0 0 0 0 0 2 1 2 2 0 2 
