HS-23 010104 1 65537 0 1 2308 0 0 0,0 0 0 0 0 0 2 0 2 
HS-27R 010302 1 65537 0 1 2316 0 0 0,0 0 0 0 0 0 0 0 0 2 0 2 
HS-20 010602 1 65537 0 1 2372 0 0 0,0 0 0 1 -19 1 0 0 0 2 0 2 
HDB-4 010001 1 65537 0 1 2440 0 0 0,0 0 0 0 0 0 0 0 0 2 0 2 
HS-8 010102 1 65537 0 1 2444 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 
HS-3 010103 1 65537 0 1 2444 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 
HS-6 010501 1 65537 65536 1 2436 0 0 0,0 0 0 0 0 0 0 0 0 2 0 2 
HDS-3 010101 1 65537 0 1 2444 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 
HS-5 010001 1 65537 0 1 2440 0 0 0,0 0 0 0 0 0 0 0 0 2 0 2 
CK-10 020108 2 65537 0 7 2456 0 0 0 4 0 0 0 1 0 0 0,0 0 0 1 -19 1 0 0 0 0 0 0 2 1 2 1 0 1 1 -19 1 
BHF-1 020001 2 65537 0 12884901893 2440 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0,0 0 0 0 0 0 0 0 0 2 1 2 1 -19 1 0 0 0 0 0 0 
HF-3 020105 2 65537 0 12884901893 2440 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0,0 0 0 0 0 0 0 0 0 2 1 2 1 -19 1 0 0 0 0 0 0 
BHF-3 020104 2 65537 0 12884901893 2440 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0,0 0 0 0 0 0 0 0 0 2 1 2 1 -19 1 0 0 0 0 0 0 
MD-1 020202 4 65537 0 4294967301 2440 0 0 0 1 0 0 0 2 0 0 0,0 0 0 0 0 0 0 0 0 2 1 2 1 -19 1 0 0 0 
PD-2 060001 16 65537 0 0, 
HS-2R 010301 1 65537 0 4294967297 2444 0 0 0 2 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 
LPS-4 010201 32 65537 0 4294967297 2320 0 0 0 2 0 0 0,1 -19 1 0 0 0 2 1 2 0 0 0 
AD-15 010105 1 65537 0 1 2124 0 0 0,0 0 0 0 0 0 1 -19 1 2 0 2 
HS-29 010603 1 65537 0 1 2124 0 0 0,0 0 0 0 0 0 1 -19 1 2 0 2 
